iter	Passed	Remaining
607	1370	883
608	1372	881
609	1374	878
610	1376	876
611	1378	873
612	1380	871
613	1382	868
614	1384	866
615	1386	864
616	1388	861
617	1390	859
618	1392	857
619	1394	854
620	1396	852
621	1398	849
622	1400	847
623	1402	845
624	1404	842
625	1406	840
626	1409	838
627	1411	835
628	1413	833
629	1415	831
630	1417	828
631	1419	826
632	1421	824
633	1423	821
634	1425	819
635	1427	817
636	1429	814
637	1431	812
638	1433	809
639	1435	807
640	1437	805
641	1439	802
642	1441	800
643	1443	798
644	1445	795
645	1447	793
646	1449	791
647	1451	788
648	1454	786
649	1456	784
650	1458	781
651	1460	779
652	1462	776
653	1464	774
654	1466	772
655	1468	770
656	1470	767
657	1472	765
658	1475	763
659	1477	760
660	1479	758
661	1481	756
662	1483	753
663	1485	751
664	1487	749
665	1489	747
666	1491	744
667	1493	742
668	1495	740
669	1497	737
670	1499	735
671	1501	733
672	1503	730
673	1505	728
674	1507	726
675	1509	723
676	1511	721
677	1513	719
678	1516	716
679	1517	714
680	1520	712
681	1522	709
682	1524	707
683	1526	705
684	1528	702
685	1530	700
686	1531	697
687	1534	695
688	1535	693
689	1537	690
690	1539	688
691	1541	686
692	1543	683
693	1545	681
694	1547	679
695	1549	676
696	1551	674
697	1553	672
698	1555	669
699	1557	667
700	1559	665
701	1561	662
702	1563	660
703	1565	658
704	1567	656
705	1569	653
706	1571	651
707	1573	649
708	1575	646
709	1577	644
710	1579	642
711	1581	639
712	1583	637
713	1585	634
714	1587	632
715	1589	630
716	1591	628
717	1593	625
718	1595	623
719	1597	621
720	1599	618
721	1601	616
722	1603	614
723	1605	611
724	1607	609
725	1609	607
726	1610	604
727	1612	602
728	1614	600
729	1616	597
730	1618	595
731	1620	593
732	1622	591
733	1624	588
734	1626	586
735	1628	584
736	1630	581
737	1632	579
738	1634	577
739	1636	575
740	1638	572
741	1640	570
742	1642	568
743	1644	565
744	1646	563
745	1648	561
746	1650	559
747	1652	556
748	1654	554
749	1656	552
750	1658	549
751	1660	547
752	1662	545
753	1664	543
754	1666	540
755	1668	538
756	1670	536
757	1672	534
758	1674	531
759	1676	529
760	1678	527
761	1680	524
762	1682	522
763	1684	520
764	1686	518
765	1688	515
766	1690	513
767	1692	511
768	1694	508
769	1696	506
770	1698	504
771	1700	502
772	1702	499
773	1703	497
774	1705	495
775	1708	493
776	1710	490
777	1712	488
778	1714	486
779	1716	484
780	1718	481
781	1720	479
782	1722	477
783	1724	475
784	1726	472
785	1728	470
786	1730	468
787	1732	466
788	1734	463
789	1736	461
790	1738	459
791	1740	457
792	1742	454
793	1744	452
794	1746	450
795	1748	448
796	1750	445
797	1752	443
798	1754	441
799	1756	439
800	1758	436
801	1760	434
802	1762	432
803	1764	430
804	1766	427
805	1768	425
806	1771	423
807	1773	421
808	1775	419
809	1776	416
810	1779	414
811	1781	412
812	1783	410
813	1785	407
814	1787	405
815	1789	403
816	1791	401
817	1793	398
818	1795	396
819	1797	394
820	1799	392
821	1801	390
822	1803	387
823	1805	385
824	1807	383
825	1809	381
826	1811	378
827	1813	376
828	1815	374
829	1817	372
830	1818	369
831	1820	367
832	1822	365
833	1825	363
834	1827	361
835	1829	358
836	1831	356
837	1833	354
838	1835	352
839	1837	350
840	1839	347
841	1841	345
842	1843	343
843	1845	341
844	1847	338
845	1849	336
846	1851	334
847	1853	332
848	1855	329
849	1857	327
850	1859	325
851	1861	323
852	1863	321
853	1865	318
854	1867	316
855	1869	314
856	1871	312
857	1873	310
858	1875	307
859	1877	305
860	1879	303
861	1881	301
862	1883	298
863	1885	296
864	1887	294
865	1889	292
866	1891	290
867	1893	287
868	1895	285
869	1897	283
870	1899	281
871	1901	279
872	1903	276
873	1905	274
874	1907	272
875	1909	270
876	1911	268
877	1913	265
878	1915	263
879	1916	261
880	1918	259
881	1920	256
882	1922	254
883	1924	252
884	1926	250
885	1928	248
886	1930	245
887	1932	243
888	1934	241
889	1936	239
890	1938	237
891	1940	234
892	1942	232
893	1944	230
894	1946	228
895	1948	226
896	1950	223
897	1952	221
898	1954	219
899	1956	217
900	1958	215
901	1960	212
902	1962	210
903	1964	208
904	1966	206
905	1968	204
906	1970	202
907	1972	199
908	1974	197
909	1976	195
910	1978	193
911	1980	191
912	1982	188
913	1984	186
914	1986	184
915	1988	182
916	1990	180
917	1992	178
918	1994	175
919	1996	173
920	1998	171
921	2000	169
922	2002	167
923	2004	164
924	2006	162
925	2008	160
926	2010	158
927	2012	156
928	2014	153
929	2016	151
930	2018	149
931	2020	147
932	2021	145
933	2023	143
934	2025	140
935	2027	138
936	2029	136
937	2032	134
938	2034	132
939	2036	129
940	2038	127
941	2040	125
942	2042	123
943	2044	121
944	2046	119
945	2048	116
946	2050	114
947	2052	112
948	2054	110
949	2056	108
950	2058	106
951	2059	103
952	2062	101
953	2063	99
954	2065	97
955	2067	95
956	2069	93
957	2071	90
958	2073	88
959	2075	86
960	2077	84
961	2080	82
962	2082	80
963	2084	77
964	2086	75
965	2088	73
966	2090	71
967	2092	69
968	2094	66
969	2096	64
970	2098	62
971	2100	60
972	2102	58
973	2104	56
974	2106	54
975	2108	51
976	2110	49
977	2112	47
978	2113	45
979	2115	43
980	2117	41
981	2119	38
982	2121	36
983	2123	34
984	2125	32
985	2127	30
986	2129	28
987	2132	25
988	2133	23
989	2136	21
990	2138	19
991	2139	17
992	2142	15
993	2144	12
994	2146	10
995	2148	8
996	2150	6
997	2152	4
998	2154	2
999	2155	0
